韓,修仁,collecter,02-23457439,09335390511,cchuang2@mail.deep.com,大學,,ICT,,virtual data 
王,達明,collecter,02-23457440,0915975272,Darmin@mail.deep.com,研究所,,機械工程,,virtual data 
葉,士俺,collecter,02-23457441,0922437461,hsan2001@mail.deep.com,研究所,,ICT,,virtual data 
韓,仕伍,processer,02-23457442,0928989153,hsuwuhan@mail.deep.com,大學,,HRM,,virtual data 
錢,久名,processer,02-23457443,0937422312,jominchen@mail.deep.com,大學,,公共關係,,virtual data 
拾,進位,processer,02-23457444,0928234209,jiweihsu@mail.deep.com,大學,,企業管理,,virtual data 
賴,士萬,methodor,02-23457445,0928065219,hsuwanlai@mail.deep.com,研究所,,法律,,virtual data 
于,繼緒,methodor,02-23457446,0911264652,jisheju@mail.deep.com,大學,,會計,,virtual data 
吳,佑來,methodor,03-2655205,0919040358,yolaiwu@ms31.hinet.net,大學,,自動控制,,virtual data 
葉,淑嫵,invesgator,03-5917449,0958972361,melody@taisugar.com.tw,研究所,,物聯網,,virtual data 
鄭,謀仁,invesgator,03-4360272,0986978367,mary1990@email.ctci.org.tw,研究所,,區塊鏈,,virtual data 
余,總士,invesgator,03-5912136                      ,0928550221,john0401@ms48.hinet.net,大學,,人工智慧,,virtual data 
關,查圓,otherrole1,07-2315075,0963201367,nooneguest@nccu.edu.tw,大學,,農藝學,tester,virtual data 
簡,四責,otherrole1,06-2380985,0952803142,notwoguest@itri.org.tw,研究所,,畜牧學,tester,virtual data 
